
Second Quartile,

percent of duration,0,4.2,8.3,12.5,16.7,20.8,25,29.2,33.3,37.5,41.7,45.8,50,54.2,58.3,62.5,66.7,70.8,75,79.2,83.3,87.5,91.7,95.8,100
10%,0,15,23.5,27.9,31.6,35.6,44,59.6,76.9,89.2,95.8,98.8,99.8,100,100,100,100,100,100,100,100,100,100,100,100
20%,0,10.3,17.1,21.6,25.5,29.9,37.2,49.8,65.2,78.5,88.3,94.8,98.2,99.6,99.9,100,100,100,100,100,100,100,100,100,100
30%,0,7.6,13.2,17.3,21.1,25.4,32.1,43,56.5,69.7,80.8,89.4,94.9,97.8,99.1,99.7,100,100,100,100,100,100,100,100,100
40%,0,5.8,10.2,13.8,17.6,21.9,27.8,37,49.1,62,73.6,83.1,90.2,94.7,97.3,98.7,99.4,99.7,99.9,100,100,100,100,100,100
50%,0,4.5,8,10.9,14.1,18.1,23.5,31.5,42.1,54.5,66.5,76.8,84.8,90.4,94.1,96.4,97.8,98.7,99.3,99.7,99.9,100,100,100,100
60%,0,3.3,6,8.4,11.1,14.5,19.2,25.9,35.2,47.1,59.4,70.3,79.3,85.6,89.7,92.6,94.7,96.3,97.7,98.7,99.3,99.8,100,100,100
70%,0,2.4,4.3,6.1,8.3,11.1,14.9,20.6,28.3,38.6,51.1,63.4,73.4,79.8,83.8,87,89.7,92.1,94.2,96.1,97.7,98.7,99.4,99.9,100
80%,0,1.6,2.8,3.9,5.4,7.4,10.4,15,21.2,30,42.1,55.7,66.7,73.3,77.2,80.3,83.2,85.9,88.5,91.3,93.7,95.8,97.9,99.3,100
90%,0,1.1,1.7,2.2,2.8,3.8,5.5,8.4,12.5,19.1,30.4,45.5,58.6,65.6,68.8,71.4,74.1,76.9,79.5,82.3,85.2,88.5,92.5,96.7,100

Third Quartile,

percent of duration,0,4.2,8.3,12.5,16.7,20.8,25,29.2,33.3,37.5,41.7,45.8,50,54.2,58.3,62.5,66.7,70.8,75,79.2,83.3,87.5,91.7,95.8,100
10%,0,15.2,23.2,27,29.9,32,34.1,36.7,39.1,41.2,43.2,46,53.2,67.9,84.3,94.6,98.7,99.8,100,100,100,100,100,100,100
20%,0,10.7,17.1,20.4,22.8,24.9,27.2,29.6,31.9,34.1,36.4,39.5,45.7,57.6,72.6,85.7,94.1,98.2,99.7,100,100,100,100,100,100
30%,0,8,13.2,16.1,18.3,20.4,22.5,24.5,26.4,28.3,30.5,33.8,39.7,49.7,63,76.7,87.8,94.9,98.4,99.7,100,100,100,100,100
40%,0,6,10,12.5,14.5,16.4,18.3,20.1,21.9,23.7,25.8,29,34.4,43.2,55,68,80.1,89.5,95.7,98.7,99.7,100,100,100,100
50%,0,4.5,7.9,10.1,11.6,13.1,14.7,16.4,18,19.6,21.6,24.7,29.5,37,47.4,59.9,72.4,83.4,91.7,96.5,98.7,99.7,100,100,100
60%,0,3.3,5.8,7.6,9,10.2,11.5,12.8,14.1,15.8,17.8,20.5,24.7,31.3,40.6,52.2,64.8,76.7,86.5,93,96.7,98.7,99.7,100,100
70%,0,2.4,4.2,5.4,6.3,7.4,8.5,9.5,10.7,11.9,13.5,15.9,19.7,25.5,33.4,43.9,56.3,69.1,80.3,88.3,93.2,96.4,98.5,99.7,100
80%,0,1.6,2.7,3.4,4.1,4.7,5.4,6.2,7.1,8.2,9.6,11.6,14.6,19.1,25.6,34.8,47.2,61.1,73.4,81.9,87.5,92,95.9,98.6,100
90%,0,1.1,1.7,2,2.2,2.5,2.8,3.2,3.7,4.4,5.2,6.5,8.4,11.4,16.1,23.5,35,50.7,65.5,74.4,79.6,84.4,89.8,95.3,100

Fourth Quartile,

percent of duration,0,4.2,8.3,12.5,16.7,20.8,25,29.2,33.3,37.5,41.7,45.8,50,54.2,58.3,62.5,66.7,70.8,75,79.2,83.3,87.5,91.7,95.8,100
10%,0,18.2,28.1,32.2,34.8,36.7,38.6,40.7,42.3,43.5,44.6,45.7,47.0,48.3,49.7,51.4,53.2,55.3,61.7,75.6,90.2,97.8,99.8,100,100
20%,0,13.2,21.2,25.4,28.2,30.3,32.2,34.1,35.7,37.1,38.4,39.4,40.6,42.1,43.8,45.3,47,49.3,54.5,66,81,92.6,98.2,99.8,100
30%,0,10.2,16.6,20.3,22.9,25,27.1,29.1,30.7,31.9,33.2,34.6,35.9,37.1,38.6,40.3,42.2,44.7,49.9,59.6,72.7,85.9,95.3,99.3,100
40%,0,7.8,13.1,16.3,18.6,20.5,22.4,24.4,25.9,27.3,28.7,30.1,31.2,32.3,33.9,35.8,37.6,40.2,45.2,53.8,65.7,79.6,91.5,98,100
50%,0,5.6,9.7,12.4,14.4,16.3,18.1,19.8,21.2,22.6,23.9,25.1,26.4,27.8,29.4,31.1,33,35.8,40.9,48.4,58.9,72.4,86.5,96,100
60%,0,4.1,7,9.1,10.9,12.5,14,15.3,16.4,17.7,18.9,19.9,21.2,22.6,24.1,25.9,28.2,31.2,36.1,43.4,52.8,65.2,80.5,93.2,100
70%,0,2.8,4.7,6.1,7.4,8.7,10,11.2,12.3,13.4,14.3,15.3,16.4,17.5,18.8,20.4,22.6,25.9,30.7,37.3,45.9,57.7,73.5,89.1,100
80%,0,1.8,3,3.9,4.7,5.4,6.2,7,7.9,8.8,9.7,10.5,11.3,12.2,13.2,14.7,16.9,20,24.4,30.4,38.2,49.1,65,83.7,100
90%,0,1.2,1.9,2.1,2.4,2.7,3.2,3.6,4,4.6,5.1,5.6,6.0,6.5,7.1,8.3,10.1,12.6,16,20.4,26.7,36.3,51.7,73.9,100

All Cases,

percent of duration,0,4.2,8.3,12.5,16.7,20.8,25,29.2,33.3,37.5,41.7,45.8,50,54.2,58.3,62.5,66.7,70.8,75,79.2,83.3,87.5,91.7,95.8,100
10%,0,27.7,47.3,61,72.2,80.7,87.1,91.8,95.1,97.4,98.8,99.6,99.9,100,100,100,100,100,100,100,100,100,100,100,100
20%,0,18.4,32.9,44.5,54.4,63.1,70.7,77.2,82.6,86.9,90.6,93.7,96.2,98,99,99.6,99.9,100,100,100,100,100,100,100,100
30%,0,13.2,24.2,33.4,42.1,50.1,57.3,64,70.1,75.4,80.1,84.4,88.2,91.7,94.6,96.9,98.5,99.5,99.9,100,100,100,100,100,100
40%,0,9.7,18.1,25.4,32.3,39.1,45.8,52.4,58.6,64.2,69.1,73.9,78.6,83.1,87.1,90.6,93.7,96.1,98,99.3,99.9,100,100,100,100
50%,0,7.2,13.5,19.2,24.8,30.4,36.1,42,47.6,52.8,57.7,62.8,67.9,73.1,78,82.5,86.5,90.2,93.6,96.4,98.4,99.6,100,100,100
60%,0,5.1,9.9,14.2,18.5,22.8,27.3,32.1,36.9,41.6,46.2,51,56.2,61.6,66.9,71.9,76.8,81.7,86.5,91,94.8,97.5,99.2,99.9,100
70%,0,3.6,6.8,9.9,13,16.3,19.8,23.3,26.8,30.5,34.6,39,43.7,48.9,54.2,59.4,64.8,70.3,76.2,82.3,88,92.8,96.9,99.3,100
80%,0,2.4,4.4,6.2,8.2,10.3,12.6,15.1,17.6,20.3,23.1,26.4,30.1,34.5,39.4,44.7,50.3,56.4,63.1,70.3,77.3,84.1,91,96.6,100
90%,0,1.3,2.2,2.9,3.8,4.8,5.9,7.1,8.6,10.3,12.1,14.2,16.7,19.9,23.4,27.3,31.8,37.2,43.8,51.7,60.2,69.4,79.7,90.4,100
