10%,0,16.4,27.6,34.5,40.2,45.3,50.0,55.3,61.1,70.6,85.0,96.1,100
20%,0,11.4,20.8,28.1,34.1,39.6,44.9,50.4,56.3,65.3,79.2,92.3,100
30%,0,9.5,18.0,25.0,30.6,35.8,41.3,47.1,53.4,62.8,76.9,90.7,100
40%,0,7.8,14.9,21.8,27.6,32.7,38.3,44.0,49.8,59.1,73.7,88.8,100
50%,0,6.7,12.7,18.4,23.9,29.3,34.8,40.2,46.0,55.3,70.5,87.0,100
60%,0,5.8,11.1,15.7,20.2,25.4,30.7,35.8,42.1,51.7,67.1,85.0,100
70%,0,5.0,9.1,12.9,17.0,21.6,26.1,30.9,37.0,46.5,62.4,82.1,100
80%,0,3.6,7.0,10.3,13.4,16.4,20.1,23.8,28.8,38.7,56.4,78.9,100
90%,0,2.2,4.4,6.6,8.7,10.8,13.0,15.8,19.4,27.4,45.1,71.4,100

All Cases,

percent of duration,0.0,8.3,16.7,25.0,33.3,41.7,50.0,58.3,66.7,75.0,83.3,91.7,100.0
10%,0,54.9,87.0,97.6,99.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
20%,0,36.2,67.1,84.7,92.3,96.3,98.5,99.6,100.0,100.0,100.0,100.0,100.0
30%,0,24.0,48.5,67.7,80.1,88.0,92.9,96.2,98.2,99.4,99.9,100.0,100.0
40%,0,16.7,35.3,52.1,65.7,76.4,84.4,90.4,94.6,97.3,99.1,99.9,100.0
50%,0,11.7,25.8,40.0,53.0,64.8,74.6,82.6,89.0,93.7,97.1,99.2,100.0
60%,0,8.7,19.3,30.9,42.9,54.7,65.3,74.6,82.5,89.1,94.2,97.8,100.0
70%,0,6.6,14.7,24.0,34.0,44.3,54.9,65.1,74.6,83.2,90.3,95.8,100.0
80%,0,4.8,10.7,17.8,26.0,35.2,44.8,55.1,65.7,75.9,85.1,93.0,100.0
90%,0,2.7,6.3,10.8,16.7,24.2,32.8,42.6,53.8,65.8,77.7,89.2,100.0
