90%,0,1.7,3.2,4.7,6.3,8.1,10.2,13.0,17.5,26.0,41.7,67.2,100

All Cases ,

percent of duration,0.0,8.3,16.7,25.0,33.3,41.7,50.0,58.3,66.7,75.0,83.3,91.7,100.0
10%,0,34.6,60.8,77.9,88.8,95.2,98.4,99.6,99.9,100.0,100.0,100.0,100.0
20%,0,21.8,41.3,57.8,71.5,82.5,90.8,96.0,98.7,99.7,100.0,100.0,100.0
30%,0,15.3,30.6,45.0,58.3,70.3,80.8,89.2,94.9,98.2,99.6,100.0,100.0
40%,0,11.5,23.7,36.2,48.5,60.4,71.4,81.2,89.3,95.1,98.4,99.7,100.0
50%,0,8.6,18.4,29.2,40.4,51.6,62.6,73.2,82.7,90.5,95.9,98.9,100.0
60%,0,6.5,14.2,23.1,32.8,43.2,53.9,64.7,75.3,84.7,92.3,97.3,100.0
70%,0,4.8,10.7,17.8,25.9,35.0,45.0,55.6,66.7,77.6,87.4,95.0,100.0
80%,0,3.2,7.3,12.4,18.7,26.1,34.9,45.1,56.5,68.7,80.8,91.4,100.0
90%,0,1.8,3.9,6.7,10.5,15.6,22.4,31.2,42.1,55.0,69.8,85.4,100.0
