30%,0,7.2,15.8,27.0,39.7,53.2,66.1,76.0,83.1,89.0,94.1,97.7,100.0,
40%,0,6.8,14.6,24.7,36.6,49.9,62.7,72.5,80.1,86.8,92.4,96.6,100.0,
50%,0,6.0,13.4,23.0,34.2,47.2,59.8,69.6,77.4,84.4,90.5,95.5,100.0,
60%,0,5.5,12.3,21.4,32.1,44.7,57.0,66.6,74.5,81.7,88.4,94.4,100.0,
70%,0,4.9,11.2,19.8,30.3,42.6,54.5,63.8,71.9,79.6,86.8,93.5,100.0,
80%,0,4.1,9.5,17.6,27.8,40.2,52.0,61.2,69.3,77.3,85.1,92.6,100.0,
90%,0,2.5,6.8,14.1,23.8,36.4,48.8,58.4,66.5,74.6,82.7,91.2,100.0,
,
Third Quartile,
,
percent of duration,0.0,8.3,16.7,25.0,33.3,41.7,50.0,58.3,66.7,75.0,83.3,91.7,100.0,
10%,0,9.6,18.5,26.3,33.9,41.7,51.1,63.8,76.5,86.6,93.9,97.9,100.0,
20%,0,8.1,16.2,24.1,31.7,39.2,48.3,60.0,72.1,82.3,90.3,95.9,100.0,
30%,0,7.2,14.5,21.9,29.2,36.8,45.9,57.2,69.0,79.6,88.3,94.8,100.0,
40%,0,6.7,13.3,20.2,27.5,35.3,44.5,55.7,67.2,77.5,86.4,93.7,100.0,
50%,0,6.0,12.3,19.0,26.1,33.9,42.9,54.0,65.4,75.8,85.2,93.0,100.0,
60%,0,5.6,11.2,17.3,24.1,31.8,40.8,52.0,63.7,74.4,84.2,92.6,100.0,
70%,0,5.0,10.2,15.9,22.4,30.1,39.2,50.0,61.5,72.7,83.1,91.9,100.0,
80%,0,4.2,8.7,13.4,19.1,26.5,35.8,47.4,59.4,70.7,81.5,91.1,100.0,
90%,0,3.1,6.8,10.8,15.3,21.5,30.8,43.2,56.3,68.5,79.6,89.9,100.0,
,
Fourth Quartile,
,
percent of duration,0.0,8.3,16.7,25.0,33.3,41.7,50.0,58.3,66.6,76.1,83.3,91.7,100.0,
10%,0,9.5,18.5,27.3,35.6,42.4,48.8,55.8,63.1,72.0,82.4,91.7,100,
20%,0,8.2,16.4,24.5,32.4,39.7,46.5,53.1,60.5,69.6,79.9,90.2,100,
30%,0,7.7,15.3,23.0,30.4,37.3,44.0,50.7,58.3,67.6,78.3,89.2,100,
40%,0,6.9,14.2,21.8,29.3,36.2,42.9,49.6,56.9,66.3,77.3,88.7,100,
50%,0,6.5,13.2,20.3,27.4,34.0,40.3,46.9,54.6,64.7,76.2,88.0,100,
60%,0,6.2,12.4,18.6,25.0,31.4,38.1,44.9,52.4,62.6,74.8,87.3,100,
70%,0,5.6,11.1,16.6,22.1,28.1,34.3,41.0,49.3,60.6,73.4,86.7,100,
80%,0,4.4,9.0,13.8,18.8,24.6,30.8,37.0,45.4,57.3,70.8,85.0,100,
90%,0,3.2,6.8,10.8,14.9,19.5,24.7,29.6,37.4,50.9,66.3,82.5,100,

All Cases,

percent of duration,0.0,8.3,18.7,25.6,34.0,41.7,50.0,58.3,67.9,75.9,83.3,91.7,100.0
10%,0,27.3,50.5,66.4,77.7,85.3,90.0,93.0,95.1,96.8,98.0,99.0,100.0
20%,0,15.9,31.5,47.1,61.2,71.7,79.2,85.2,90.1,93.9,96.6,98.6,100.0
30%,0,11.6,23.8,37.0,49.6,60.4,69.7,77.4,84.0,89.8,94.5,97.7,100.0
40%,0,9.4,19.5,30.7,41.6,52.0,61.8,70.4,78.1,85.3,91.6,96.3,100.0
50%,0,7.9,16.6,26.7,36.7,46.5,56.1,65.2,73.9,81.9,88.8,94.7,100.0
60%,0,6.6,14.1,23.1,32.6,42.3,51.9,60.9,69.7,78.2,86.1,93.1,100.0
70%,0,5.8,12.3,20.3,29.0,38.2,47.5,57.0,66.4,75.4,84.0,92.2,100.0
80%,0,5.2,10.7,17.5,25.3,33.8,42.7,52.1,62.0,71.9,81.6,90.9,100.0
90%,0,3.6,8.0,13.6,20.1,27.9,36.4,45.8,56.1,66.8,77.5,88.6,100.0
