percent of duration,0.0,8.3,17.7,25.0,33.3,41.7,50.0,58.3,66.6,76.1,83.3,91.7,100.0,
10%,0,12.2,22.9,30.8,37.4,43.1,48.5,54.5,61.4,71.1,82.8,92.4,100,
20%,0,9.5,18.6,26.5,33.3,39.1,44.9,50.9,58.0,67.8,79.5,90.3,100,
30%,0,8.3,16.3,23.5,30.2,36.1,41.8,47.4,54.2,64.7,77.4,89.2,100,
40%,0,7.5,14.8,21.5,27.6,33.4,39.1,44.7,51.7,62.3,75.1,87.8,100,
50%,0,6.3,12.5,18.6,24.5,30.2,35.7,41.4,48.9,59.7,72.8,86.4,100,
60%,0,5.3,10.6,16.2,22.1,27.6,32.6,37.0,44.0,56.0,70.2,84.8,100,
70%,0,4.6,9.4,14.1,18.6,23.2,28.0,32.4,39.5,51.8,66.7,82.8,100,
80%,0,3.7,7.6,11.6,15.5,19.3,23.0,26.7,33.3,45.3,60.6,79.2,100,
90%,0,2.6,5.3,7.8,9.8,11.8,14.4,17.7,24.7,36.8,52.6,74.3,100,

All Cases,

percent of duration,0.0,8.3,16.7,25.0,33.3,41.7,50.0,58.3,66.7,75.0,83.3,91.7,100.0
10%,0,40.1,71.9,88.4,96.2,99.5,99.9,100.0,100.0,100.0,100.0,100.0,100.0
20%,0,28.7,53.9,72.9,86.7,94.1,97.4,99.1,99.7,100.0,100.0,100.0,100.0
30%,0,20.4,39.9,58.9,75.4,85.6,91.3,95.2,97.6,99.0,99.7,100.0,100.0
40%,0,14.7,30.5,48.1,64.2,75.3,83.3,89.2,93.5,96.5,98.5,99.5,100.0
50%,0,10.6,23.2,39.0,53.9,65.2,74.2,81.7,88.0,92.9,96.6,98.8,100.0
60%,0,8.1,18.1,31.3,44.3,55.4,65.3,73.9,81.5,88.0,93.1,96.9,100.0
70%,0,5.9,13.8,24.5,35.6,46.5,56.9,66.1,74.7,82.6,89.5,95.1,100.0
80%,0,4.1,10.0,18.5,27.8,37.4,47.4,57.6,67.6,77.0,85.6,93.1,100.0
90%,0,2.5,6.4,12.1,18.9,27.0,36.1,46.5,57.7,68.8,79.7,90.0,100.0
