Tabulated Temporal Distribution Data,,,,,,,,,,,,,,,,,,,,,,,,,
10%,0,7.5,14.0,19.8,22.3,24.7,27.0,29.5,33.0,35.8,38.0,41.3,46.8,57.25,71.75,85,93.75,98.25,99.75,100,100,100,100,100,100
20%,0,4.5,8.3,11.5,14.3,17.4,19.8,22.7,26.0,28.3,30.8,35.0,41.0,50.75,64.5,78,88.5,95.25,98.25,99.5,100,100,100,100,100
30%,0,3.5,6.0,7.8,9.3,11.8,14.4,17.0,20.4,22.8,24.8,29.0,36.3,46,58.25,71.5,83.5,92,96.25,98.5,99.75,100,100,100,100
40%,0,2.8,4.8,6.0,7.0,8.3,10.0,12.3,14.8,16.8,19.0,24.0,31.5,40,50.75,63.5,75.75,86,93,96.75,98.75,99.75,100,100,100
50%,0,2.5,4.0,5.0,6.0,7.0,8.0,9.1,11.1,12.8,15.0,19.0,26.3,34.25,43.5,56.5,70.5,81.75,89.5,94.5,97.75,99.5,100,100,100
60%,0,1.8,3.0,3.8,4.3,5.1,6.0,7.0,8.3,9.8,11.5,14.5,20.3,28.75,38.75,51.25,65.25,76.5,85,92,96.5,98.5,99.25,99.75,100
70%,0,1.0,1.8,2.3,3.0,4.0,4.7,5.3,6.3,6.9,8.0,10.8,15.0,23.5,34.75,46.5,59.75,71.75,81.25,88.5,93.5,96.75,98.5,99.25,100
80%,0,0.8,1.0,1.3,2.0,2.8,3.3,4.0,4.8,5.3,6.3,8.0,10.8,16.75,27.25,40,52.5,65,77,85.5,90.75,94.5,96.75,98.25,100
90%,0,0.8,1.0,1.0,1.0,1.3,1.8,2.3,2.8,3.3,4.0,5.0,6.8,10.25,16.5,25.5,38.25,54.75,69.25,79,85.25,89.5,93.5,97,100

Fourth Quartile,,,,,,,,,,,,,,,,,,,,,,,,,

percent of duration,0.0,4.2,9.5,15.5,19.2,23.1,26.7,30.4,35.7,39.0,42.1,45.8,50.0,54.2,58.3,62.5,66.7,70.8,75.0,79.2,83.3,87.5,91.7,95.8,100.0
10%,0,15.2,20.2,24.7,28.0,30.8,32.8,34.5,35.8,37.2,38.9,41.4,43.4,47.4,48.9,51.3,53.8,56.5,63.5,76.5,89.0,96.8,99.8,100.0,100.0
20%,0,8.8,14.3,19.3,23.5,26.3,28.5,30.8,32.3,33.5,35.1,37.2,38.75,42.2,43.7,46.0,48.5,51.8,57.8,69.3,81.5,91.5,98.0,100.0,100.0
30%,0,6.3,10.8,14.5,18.5,22.3,24.9,27.4,28.8,29.9,31.6,33.5,34.7,37.6,39.5,42.0,45.0,48.2,54.0,64.0,75.0,85.8,94.5,99.0,100.0
40%,0,4.0,7.8,11.0,14.3,17.8,21.0,23.5,25.0,26.6,28.1,29.7,30.8,33.3,34.7,37.2,40.8,44.0,49.0,58.3,69.8,81.3,91.5,97.8,100.0
50%,0,3.3,6.5,9.3,12.0,14.8,17.5,20.3,22.0,23.0,24.3,26.0,27.75,29.7,30.5,33.0,36.3,40.0,45.8,53.4,63.0,76.0,87.1,96.8,100.0
60%,0,2.3,4.5,6.5,9.0,11.5,13.8,16.3,17.8,19.1,20.3,21.8,23.3,25.4,26.2,27.8,29.7,32.4,39.0,48.0,56.8,68.8,81.3,93.5,100.0
70%,0,1.3,2.8,4.3,6.3,8.5,10.3,12.0,13.1,14.6,16.3,18.0,18.7,20.6,21.4,23.0,24.3,26.3,30.8,39.3,49.5,61.3,76.3,90.3,100.0
80%,0,0.8,1.3,2.0,2.8,3.8,5.0,6.4,7.1,8.0,9.1,10.4,11.2,12.9,13.5,14.8,16.3,18.5,22.0,28.3,39.0,51.8,67.0,85.0,100.0
90%,0,0.8,1.0,1.0,1.3,1.8,2.0,2.5,2.9,2.9,3.3,3.5,3.9,4.8,5.4,6.7,8.0,9.8,11.4,14.8,24.3,40.8,58.0,77.0,100.0

All Cases,,,,,,,,,,,,,,,,,,,,,,,,,

percent of duration,0.0,4.2,9.5,15.5,19.2,23.1,26.7,30.4,35.7,39.0,42.1,45.8,50.0,54.2,58.3,62.5,66.7,70.8,75.0,79.2,83.3,87.5,91.7,95.8,100.0
10%,0,20.8,36.8,46.2,55.1,63.0,72.0,79.3,83.8,88.0,92.0,95.0,96.9,98.5,99.2,99.6,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
20%,0,11.8,21.0,27.3,34.0,41.3,48.5,56.8,63.8,69.8,76.0,80.8,85.2,89.3,92.8,94.8,96.3,97.8,99.0,99.8,100.0,100.0,100.0,100.0,100.0
30%,0,6.8,13.0,19.0,24.5,29.8,36.5,44.0,50.5,56.0,61.7,68.0,73.4,78.3,81.9,86.5,90.0,93.4,96.0,97.8,99.0,99.8,100.0,100.0,100.0
40%,0,4.8,8.8,12.8,17.5,22.3,27.5,33.5,38.2,43.4,48.2,53.6,59.3,66.8,72.5,77.5,82.0,86.3,91.0,95.3,97.8,99.0,99.8,100.0,100.0
50%,0,3.8,6.4,9.3,12.3,15.6,20.0,25.5,29.8,33.8,38.5,43.3,47.75,53.5,60.5,67.3,73.5,79.3,85.3,91.3,95.3,97.3,98.8,99.8,100.0
60%,0,2.8,5.0,7.0,9.0,11.3,14.5,18.8,22.4,26.0,29.3,33.3,38.5,44.5,50.5,56.8,63.0,69.8,77.5,84.8,90.5,94.8,97.5,99.0,100.0
70%,0,1.3,3.0,4.8,6.3,8.0,10.3,13.0,16.0,19.0,22.0,25.5,29.9,35.8,41.3,47.0,53.3,60.0,68.0,77.0,84.5,90.0,94.5,97.8,100.0
80%,0,1.0,2.0,3.0,4.0,5.0,6.3,8.0,10.0,12.0,14.3,17.5,21.4,26.3,31.3,36.8,42.0,47.8,55.8,65.0,73.5,81.5,89.0,95.3,100.0
90%,0,0.8,1.0,1.3,1.8,2.3,2.8,3.5,4.5,5.3,6.3,8.0,10.25,13.0,16.4,21.0,24.9,30.3,37.8,46.3,55.0,65.3,77.5,89.5,100.0
